col0,col1,col2,col3
Mia Khalifa,Xeno Carr,Mia Khalifa,trap music
Black Korea,Ice Cube,Latasha Harlins,hip hop music
City of New Orleans,Steve Goodman,Illinois Central Railroad,contemporary folk music
My Old School,Gary Katz,Bard College,pop rock
Baptism,Kyle Lehning,believer's baptism,country music
The Battle of New Orleans,Don Law,Battle of New Orleans,country music
Hey Gyp,Tom Wilson,Gyp Mills,folk rock
Draft Dodger Rag,Jac Holzman,draft evasion,protest song
Kiss You,Rami Yacoub,sexuality,power pop
National Anthem,Emile Haynie,assassination of John F. Kennedy,indie pop
Smoke on the Water,Deep Purple,Montreux Casino,hard rock
Hakuna Matata,Mark Mancina,Hakuna matata,pop music
Toxic,Bloodshy & Avant,love addiction,dance music
Right Here Waiting,Richard Marx,long-distance relationship,soft rock
