col0,col1,col2,col3,col4
Santuario della Verna,1260-01-01,Renaissance architecture,Italy,Chiusi della Verna
Sanctuary Madonna of the Splendor,1559-01-01,baroque architecture,Italy,Giulianova
Khwaja 'Abd Allah Ansari shrine,1425-01-01,Timurid art,Afghanistan,Herat
Santuario di Trezzo,1526-01-01,baroque architecture,Italy,Dumenza
Santuario della Madonna di Tirano,1505-01-01,Renaissance architecture,Italy,Tirano
Assunta,1418-01-01,Renaissance architecture,Italy,Morbegno
Santuario della Madonna del Sangue,1958-01-01,Byzantine Revival architecture,Italy,Re
Madonna della Pace,1521-03-18,Gothic Revival architecture,Italy,Massa Martana
Madonna della Carraia,1661-01-01,baroque architecture,Italy,Castiglione del Lago
Santa Maria de les Esposes,1858-01-01,vernacular architecture,Spain,Sant Julià de Cerdanyola
Mare de Déu de les Salines,1200-01-01,Romanesque architecture,Spain,Maçanet de Cabrenys
"Sanctuary dell'Arcella, Padua",1931-01-01,Gothic Revival architecture,Italy,Padua
