col0,col1,col2,col3,col4,col5,col6,col7
Bình Định,6850.6,Bahnar,Vietnam,Qui Nhơn,province of Vietnam,484,Vietnam
Đồng Tháp,3238,Khmer,Mekong Delta,Cao Lãnh,province of Vietnam,4,Vietnam
Bình Phước,6871.5,Bulo Stieng,Vietnam,Dong Xoai,province of Vietnam,153,Vietnam
Gia Lai,15494.9,Bahnar,Vietnam,Pleiku,province of Vietnam,516,Vietnam
Phú Thọ,3533.3,Tai Dam,Vietnam,Việt Trì,province of Vietnam,78,Vietnam
An Giang,3406.2,Khmer,Vietnam,Long Xuyên,province of Vietnam,3,Vietnam
Nghệ An,16490,Khmu,Vietnam,Vinh,province of Vietnam,331,Vietnam
Quảng Trị,4745.7,Pacoh,Vietnam,Đông Hà,province of Vietnam,46,Vietnam
Kiên Giang,6299,Khmer,Vietnam,Rạch Giá,province of Vietnam,3,Vietnam
Lai Châu,9059.4,Khmu,Vietnam,Lai Châu,province of Vietnam,1674,Vietnam
Bắc Kạn,4859,Nung,Vietnam,Bắc Kạn,province of Vietnam,233,Vietnam
Bắc Giang,3827.45,Iu Mien,Vietnam,Bắc Giang,province of Vietnam,9,Vietnam
