col0,col1,col2,col3,col4
Re: total serum testosterone and gonadotropins in workers exposed to dioxin,scientific article,1995-03-01,Total serum testosterone and gonadotropins in workers exposed to dioxin,English
Re: total serum testosterone and gonadotropins in workers exposed to dioxin,scientific article,1995-03-01,Total serum testosterone and gonadotropins in workers exposed to dioxin,English
"Re: ""Total serum testosterone and gonadotropins in workers exposed to dioxin"".",scientific article,1997-03-01,Total serum testosterone and gonadotropins in workers exposed to dioxin,English
Asbestos-related cancer and the amphibole hypothesis: 4. The hypothesis is still supported by scientists and scientific data,scientific article,1997-04-01,The amphibole hypothesis of asbestos-related cancer--gone but not forgotten,English
"Authors' response to ""Quartz exposure can cause pneumoconiosis in coal workers""",scientific article,2009-08-01,Quartz exposure can cause pneumoconiosis in coal workers.,English
Comments on the Diesel Exhaust in Miners Study - reply,scientific article,2011-03-14,Comments on the Diesel Exhaust in Miners Study,English
Asbestos-Related Cancer and the Amphibole Hypothesis: 2. Stayner and Colleagues Respond,scientific article,1997-04-01,Asbestos-related cancer and the amphibole hypothesis: 1. The first documentation of the association,English
Asbestos-related cancer and the amphibole hypothesis: 3. The amphibole hypothesis: neither gone nor forgotten,scientific article,1997-04-01,Occupational exposure to chrysotile asbestos and cancer risk: a review of the amphibole hypothesis,English
Comments on the Diesel Exhaust in Miners Study - reply,publication,2011-03-14,Comments on the Diesel Exhaust in Miners Study,English
Re: total serum testosterone and gonadotropins in workers exposed to dioxin,letter to the editor,1995-03-01,Total serum testosterone and gonadotropins in workers exposed to dioxin,English
Re: total serum testosterone and gonadotropins in workers exposed to dioxin,letter to the editor,1995-03-01,Total serum testosterone and gonadotropins in workers exposed to dioxin,English
Male and Female Eggs,letter to the editor,1862-04-19,Curiosities in Natural History,English
"Further Notes about the ""Cuckoo""",letter to the editor,1862-06-07,The Cuckoo,English
