col0,col1,col2,col3
El Yunque National Forest,Puerto Rico,IUCN category VI: Protected Area with sustainable use of natural resources,Río Grande
Angelina National Forest,Texas,IUCN category VI: Protected Area with sustainable use of natural resources,Lufkin
Davy Crockett National Forest,Texas,IUCN category VI: Protected Area with sustainable use of natural resources,Lufkin
Samuel R. McKelvie National Forest,Cherry County,IUCN category VI: Protected Area with sustainable use of natural resources,Valentine
Kootenai National Forest,Montana,IUCN category VI: Protected Area with sustainable use of natural resources,Libby
Stanislaus National Forest,California,IUCN category VI: Protected Area with sustainable use of natural resources,Sonora
Eldorado National Forest,California,IUCN category VI: Protected Area with sustainable use of natural resources,Placerville
White River National Forest,Colorado,IUCN category VI: Protected Area with sustainable use of natural resources,Glenwood Springs
Ocala National Forest,Florida,IUCN category VI: Protected Area with sustainable use of natural resources,Ocala
Shoshone National Forest,Wyoming,IUCN category VI: Protected Area with sustainable use of natural resources,Cody
Carson National Forest,New Mexico,IUCN category VI: Protected Area with sustainable use of natural resources,Taos
Bridger-Teton National Forest,Wyoming,IUCN category VI: Protected Area with sustainable use of natural resources,Jackson
Flathead National Forest,Montana,IUCN category VI: Protected Area with sustainable use of natural resources,Kalispell
Inyo National Forest,Nevada,IUCN category VI: Protected Area with sustainable use of natural resources,Bishop
Umpqua National Forest,Oregon,IUCN category V: Protected Landscape/Seascape,Roseburg
