col0,col1,col2,col3,col4
Dadra and Nagar Haveli,491,1961-08-11,16,160595
Dima Hasao district,4888,1970-01-01,513,62489
Hailakandi district,1327,1989-01-01,21,48140
Nizamabad district,7956,1905-01-01,395,588372
Nilgiris district,2549,1882-02-01,2789,435655
New Delhi,42700000,1911-01-01,216,142004
Ganderbal district,1979,2001-01-01,1616,47039
Baran district,6992,1991-04-10,262,254214
Kandhamal district,8021,1993-01-01,700,72279
Pulwama district,1398,1979-01-01,1630,80462
Idukki district,4358,1972-01-01,1200,52045
Kozhikode district,2344,1957-01-01,127,2072572
Thane district,4214,1833-01-01,11,8514678
