col0,col1,col2,col3
Little Wabash River,Skillet Fork,Wabash River basin,382
Creasy Creek,Reilly Creek,Susquehanna River basin,4.7
Shamokin Creek,Bennys Run,Susquehanna River basin,52.1
Mahoning Creek,Sechler Run,Susquehanna River basin,14
Shamokin Creek,Little Shamokin Creek,Susquehanna River basin,52.1
Johnson Creek,Crystal Springs Creek,Willamette River basin,25
Swatara Creek,Beaver Creek,Susquehanna River basin,114
Indian Creek,Last Chance Creek,Sacramento River basin,47
Strzegomka,Pełcznica,Bystrzyca Basin,79.35
Camas Creek,Malad River,Snake River basin,64
Indre,Aidain,Oise basin,13
Rot,Moosbach,Neckar basin,37.136
Pulsnitz,Haselbach,Black Elster basin,56
Solokiya River,Prutnik,Bug Basin,71
