col0,col1,col2,col3,col4,col5,col6,col7
mercury-198,118,0,-30954.31,197.966769179,1566487.296,1,80
mercury-197,117,0.5,-30540.229,196.967213713,1558002.08,-1,80
mercury-196,116,0,-31825.941,195.965833444,1551216.324,1,80
mercury-195,115,0.5,-31013.393,194.966705751,1542332.415,-1,80
mercury-194,114,0,-32183.945,193.965449111,1535431.818,1,80
mercury-192,112,0,-32011.553,191.965634182,1519116.672,1,80
mercury-190,110,0,-31370.697,189.966322169,1502333.23,1,80
mercury-189,109,1.5,-29626.401,188.968194748,1492517.691,-1,80
mercury-188,108,0,-30201.914,187.96757691,1485021.776,1,80
mercury-186,106,0,-28539.097,185.969362017,1467216.36,1,80
