col0,col1,col2,col3
Childhood's End,film adaptation,Matthew Graham,2015-01-01
Dimitrije Tucović,biographical film,Milovan Vitezović,1974-10-31
Altes Geld,drama film,David Schalko,2015-03-27
Ta den ring,science fiction,Jon Bing,1982-09-24
Show Me a Hero,drama film,David Simon,2015-08-16
When We Rise,docudrama,Dustin Lance Black,2017-02-27
The Fourth Man,drama film,Johan Widerberg,2014-12-30
Rosemary's Baby,film adaptation,James Wong,2014-05-11
Nada Será Como Antes,drama,Jorge Furtado,2016-09-27
The Fourth Man,drama film,Leif G. W. Persson,2014-12-30
SS-GB,alternate history,Neal Purvis,2017-02-19
The Young Pope,television drama,Paolo Sorrentino,2016-10-21
