col0,col1,col2,col3,col4,col5
2017 Trofeo Alfredo Binda-Comune di Cittiglio,2017-03-19,Orica-Scott 2017,2018 Trofeo Alfredo Binda-Comune di Cittiglio,Coryn Rivera,Annemiek van Vleuten
2016 Trofeo Alfredo Binda-Comune di Cittiglio,2016-03-20,Servetto Footon 2016,2017 Trofeo Alfredo Binda-Comune di Cittiglio,Jolanda Neff,Emma Johansson
2017 Trofeo Alfredo Binda-Comune di Cittiglio,2017-03-19,Orica-Scott 2017,2018 Trofeo Alfredo Binda-Comune di Cittiglio,Cecilie Uttrup Ludwig,Cecilie Uttrup Ludwig
2016 Trofeo Alfredo Binda-Comune di Cittiglio,2016-03-20,Servetto Footon 2016,2017 Trofeo Alfredo Binda-Comune di Cittiglio,Jolanda Neff,Jolanda Neff
2017 Trofeo Alfredo Binda-Comune di Cittiglio,2017-03-19,FDJ-Nouvelle Aquitaine-Futuroscope 2017,2018 Trofeo Alfredo Binda-Comune di Cittiglio,Cecilie Uttrup Ludwig,Cecilie Uttrup Ludwig
2018 Trofeo Alfredo Binda-Comune di Cittiglio,2018-03-18,2018 Alé Cipollini season,2019 Trofeo Alfredo Binda-Comune di Cittiglio,Chantal Blaak,Chantal Blaak
2017 Trofeo Alfredo Binda-Comune di Cittiglio,2017-03-19,Orica-Scott 2017,2018 Trofeo Alfredo Binda-Comune di Cittiglio,Cecilie Uttrup Ludwig,Annemiek van Vleuten
2018 Trofeo Alfredo Binda-Comune di Cittiglio,2018-03-18,Lotto Soudal Ladies 2018,2019 Trofeo Alfredo Binda-Comune di Cittiglio,Marianne Vos,Karol-Ann Canuel
2017 Trofeo Alfredo Binda-Comune di Cittiglio,2017-03-19,Netherlands women's national road cycling team 2017,2018 Trofeo Alfredo Binda-Comune di Cittiglio,Elisa Longo Borghini,Katarzyna Niewiadoma
2018 Trofeo Alfredo Binda-Comune di Cittiglio,2018-03-18,Lotto Soudal Ladies 2018,2019 Trofeo Alfredo Binda-Comune di Cittiglio,Marianne Vos,Katarzyna Niewiadoma
2017 Trofeo Alfredo Binda-Comune di Cittiglio,2017-03-19,Netherlands women's national road cycling team 2017,2018 Trofeo Alfredo Binda-Comune di Cittiglio,Elisa Longo Borghini,Eugenia Bujak
2018 Trofeo Alfredo Binda-Comune di Cittiglio,2018-03-18,Lotto Soudal Ladies 2018,2019 Trofeo Alfredo Binda-Comune di Cittiglio,Marianne Vos,Alena Amialiusik
