col0,col1,col2,col3
Bräuerstraße 26,1830-01-01,Germany,Upper Lusatian house
Bräuerstraße 13,1830-01-01,Germany,Upper Lusatian house
Bräuerstraße 12,1800-01-01,Germany,Upper Lusatian house
Bräuerstraße 11,1830-01-01,Germany,Upper Lusatian house
Bräuerstraße 10,1830-01-01,Germany,Upper Lusatian house
Bräuerstraße 6,1850-01-01,Germany,Upper Lusatian house
Bräuerstraße 5,1780-01-01,Germany,Upper Lusatian house
August-Hoffmann-Straße 8,1830-01-01,Germany,Upper Lusatian house
August-Hoffmann-Straße 6,1830-01-01,Germany,Upper Lusatian house
Arno-Förster-Straße 2,1800-01-01,Germany,Upper Lusatian house
An der Scheibe 16,1830-01-01,Germany,Upper Lusatian house
An der Scheibe 6,1880-01-01,Germany,Upper Lusatian house
An der Scheibe 5,1846-01-01,Germany,Upper Lusatian house
An der Läuterau 33 and 33a,1800-01-01,Germany,Upper Lusatian house
An der Läuterau 31,1750-01-01,Germany,Upper Lusatian house
