col0,col1,col2,col3,col4
7-Dorpenomloop Aalburg,Netherlands,May,1.2,2007-01-01
Gooik–Geraardsbergen–Gooik,Belgium,May,1.2,2011-01-01
Amstel Gold Race,Netherlands,April,1.2,2001-01-01
Omloop van Borsele,Netherlands,April,1.2,2002-01-01
Grand Prix de Dottignies,Belgium,April,1.2,2002-01-01
Dwars door de Westhoek,Belgium,April,1.2,2009-01-01
Durango-Durango Emakumeen Saria,Spain,April,1.2,2001-01-01
Gent–Wevelgem – women's race,Belgium,March,1.2,2012-01-01
Omloop van het Hageland,Belgium,March,1.2,2005-01-01
Omloop Het Nieuwsblad – women's race,Belgium,February,1.2,2006-01-01
