col0,col1,col2,col3,col4,col5,col6,col7
Cojedes,San Carlos,Venezuela,1864-01-01,Rómulo Gallegos,88,1480,Guárico
Monagas,Maturín,Venezuela,1856-01-01,Ezequiel Zamora,31,28900,Anzoátegui
Trujillo,Trujillo,Venezuela,1899-01-01,Escuque,520,7400,Zulia
Carabobo,Valencia,Venezuela,1864-01-01,Puerto Cabello,653,4650,Yaracuy
Yaracuy,San Felipe,Venezuela,1899-01-01,Veroes,267,7100,Carabobo
Portuguesa,Guanare,Venezuela,1909-01-01,San Rafael de Onoto,118,15200,Trujillo
Monagas,Maturín,Venezuela,1856-01-01,Santa Bárbara,31,28900,Anzoátegui
Portuguesa,Guanare,Venezuela,1909-01-01,San Rafael de Onoto,118,15200,Barinas
Delta Amacuro,Tucupita,Venezuela,1991-01-01,Casacoima,4,40200,Barima-Waini
Yaracuy,San Felipe,Venezuela,1899-01-01,Veroes,267,7100,Lara
Delta Amacuro,Tucupita,Venezuela,1991-01-01,Casacoima,4,40200,Monagas
