col0,col1,col2,col3
"Guns, Germs, and Steel",W. W. Norton & Company,history,"A Short History of Everybody for the Last 13,000 Years"
Blind Injustice,University of California Press,miscarriage of justice,A Former Prosecutor Exposes the Psychology and Politics of Wrongful Convictions
The Art of the Argument,Kindle Direct Publishing,philosophy,Western Civilization's Last Stand
The Salmon of Doubt,Heinemann,Gusty Winds May Exist (La Bajada),Hitchhiking the Galaxy One Last Time
Debt: The First 5000 Years,Melville House Publishing,debt,The First 5000 Years
The Salmon of Doubt,Heinemann,Dirk Gently,Hitchhiking the Galaxy One Last Time
"Eats, Shoots & Leaves",Profile Books,English grammar,The Zero Tolerance Approach to Punctuation
The Salmon of Doubt,Heinemann,Rio Grande Zoo,Hitchhiking the Galaxy One Last Time
Kipps,Macmillan Publishers,orphan,The Story of a Simple Soul
The Salmon of Doubt,Heinemann,Hydrochoerus hydrochaeris,Hitchhiking the Galaxy One Last Time
Lies My Teacher Told Me,The New Press,history of the United States,Everything Your American History Textbook Got Wrong
