col0,col1,col2,col3
Jone,Italian,public domain,opera seria
Il prigionier superbo,Italian,public domain,opera seria
Adelasia ed Aleramo,Italian,public domain,opera seria
Ifigenia in Tauride,Italian,public domain,opera seria
Demetrio,Italian,public domain,opera seria
Tito Manlio,Italian,public domain,opera seria
Paride ed Elena,Italian,public domain,opera seria
Ildegonda,Italian,public domain,opera seria
La capricciosa corretta,Italian,public domain,opera buffa
Medea,German,public domain,melodrama
Daphnis et Chloé,French,public domain,operetta
