col0,col1,col2,col3
Le Moulin,Sark,109,Guernsey
Ben More,Ardmeanach,966,United Kingdom
Gometra,Sea of the Hebrides,155,United Kingdom
Beinn Fhada,Kintail,1032,United Kingdom
Mam Sodhail,Northwest Highlands,1179.4,United Kingdom
Maol Cheann-dearg,Northwest Highlands,933,United Kingdom
Sgùrr Thuilm,Northwest Highlands,963,United Kingdom
Beinn Liath Mhòr,Northwest Highlands,926,United Kingdom
Aonach Meadhoin,Northwest Highlands,1001,United Kingdom
Gairich,Northwest Highlands,919,United Kingdom
Sgorr Ruadh,Northwest Highlands,960.7,United Kingdom
Conival,Northwest Highlands,987,United Kingdom
A' Chràlaig,Northwest Highlands,1120,United Kingdom
Ben More Assynt,Northwest Highlands,998,United Kingdom
An Riabhachan,Northwest Highlands,1129,United Kingdom
