col0,col1,col2,col3,col4
Henkerbrünnli,Jura limestone,Switzerland,1829-01-01,water distribution pipe network
courtyard fountain Munzinger schoolhouse,brass,Switzerland,1918-01-01,water distribution pipe network
Willy Schäfer Fountain,brass,Switzerland,2004-09-01,water distribution pipe network
Tavel Terrace fountain,brass,Switzerland,1939-07-22,water distribution pipe network
Henkerbrünnli,brass,Switzerland,1829-01-01,water distribution pipe network
Fasshaus fountain,brass,Switzerland,1849-01-01,water distribution pipe network
Eigerplatz fountain,brass,Switzerland,2017-09-10,water distribution pipe network
double fountain Studer street,brass,Switzerland,1911-01-01,water distribution pipe network
David fountain,brass,Switzerland,1846-01-01,water distribution pipe network
fountain Brunngasse,brass,Switzerland,1785-01-01,water distribution pipe network
fountain Sulgenbach schoolhouse,brass,Switzerland,1871-01-01,water distribution pipe network
fountain Lorraine street,brass,Switzerland,1880-01-01,water distribution pipe network
Tavel Terrace fountain,limestone,Switzerland,1939-07-22,water distribution pipe network
Fasshaus fountain,limestone,Switzerland,1849-01-01,water distribution pipe network
