col0,col1,col2,col3,col4,col5,col6
silicon-44,14,phosphorus-43,360,44.03061,isotope of silicon,silicon
silicon-43,14,phosphorus-42,60,43.0248,isotope of silicon,silicon
silicon-41,14,phosphorus-40,20,41.013011,isotope of silicon,silicon
silicon-40,14,phosphorus-39,33,40.005829,isotope of silicon,silicon
silicon-39,14,phosphorus-38,47.5,39.002491,isotope of silicon,silicon
silicon-38,14,phosphorus-37,1,37.995523,isotope of silicon,silicon
silicon-37,14,phosphorus-36,90,36.992945191,isotope of silicon,silicon
silicon-36,14,phosphorus-35,0.45,35.986649271,isotope of silicon,silicon
silicon-35,14,phosphorus-34,0.78,34.984550134,isotope of silicon,silicon
silicon-34,14,phosphorus-34,2.77,33.978575437,isotope of silicon,silicon
silicon-33,14,phosphorus p-33,6.11,32.977976964,isotope of silicon,silicon
silicon-27,14,aluminium-27,4.15,26.986704688,isotope of silicon,silicon
