col0,col1,col2,col3
Mo Dao Zu Shi,danmei,Uninhibited,Mo Dao Zu Shi
Alice's Adventures in Wonderland,speculative fiction novel,Alice's Adventures Under Ground,Alice in Wonderland
Moby-Dick,nautical fiction,Moby Dick,Moby Dick—Rehearsed
Alice's Adventures in Wonderland,children's novel,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland
Crime and Punishment,philosophical novel,Trosedd a chosb,Crime and Punishment: A Falsified Romance
Moby-Dick,adventure novel,Moby Dick,Moby Dick—Rehearsed
Crime and Punishment,philosophical novel,Trosedd a chosb,Pickpocket
Moby-Dick,adventure novel,Moby-Dick,Moby Dick
A Princess of Mars,science fiction,A Princess of Mars,John Carter
Moby-Dick,adventure novel,Moby-Dick,Moby Dick
Alice's Adventures in Wonderland,children's novel,Sonya v tsarstve diva,Alice's Adventures in Wonderland
Crime and Punishment,philosophical novel,Trosedd a chosb,Crime and Punishment
Moby-Dick,adventure novel,Moby Dick,Moby Dick
Crime and Punishment,philosophical novel,Trosedd a chosb,Crime and Punishment
Moby-Dick,adventure novel,Moby Dick,Moby-Dick
