col0,col1,col2,col3
2007 Badminton World Championships,2006 Badminton World Championships,Malaysia,2007-08-13
2015 Badminton World Championships,2014 Badminton World Championships,Indonesia,2015-08-10
1989 Badminton World Championships,1987 Badminton World Championships,Indonesia,1989-05-29
2018 Badminton World Championships,2017 Badminton World Championships,People's Republic of China,2018-07-30
2013 Badminton World Championships,2011 Badminton World Championships,People's Republic of China,2013-08-05
1987 Badminton World Championships,1985 Badminton World Championships,People's Republic of China,1987-05-18
2017 Badminton World Championships,2015 Badminton World Championships,United Kingdom,2017-08-21
2011 Badminton World Championships,2010 Badminton World Championships,United Kingdom,2011-08-08
2003 Badminton World Championships,2001 Badminton World Championships,United Kingdom,2003-07-28
1997 Badminton World Championships,1995 Badminton World Championships,United Kingdom,1997-05-24
1993 Badminton World Championships,1991 Badminton World Championships,United Kingdom,1993-05-31
2010 Badminton World Championships,2009 Badminton World Championships,France,2010-08-23
