col0,col1,col2,col3
Gänsgraben-Durchlass,architectural heritage monument in Bavaria,culvert,Berching
Richtheimer Durchlass,architectural heritage monument in Bavaria,culvert,Berg
Gruberbach-Durchlass,architectural heritage monument in Bavaria,culvert,Berg
Kettenbach-Durchlass,architectural heritage monument in Bavaria,culvert,Berg
Eggerbach-Durchlass,architectural heritage monument in Bavaria,culvert,Eggolsheim
Graben-Durchlass,architectural heritage monument in Bavaria,culvert,Eggolsheim
Sittenbach-Durchlass,architectural heritage monument in Bavaria,culvert,Eggolsheim
Bibertsgraben-Durchlass,architectural heritage monument in Bavaria,culvert,Eggolsheim
Pair Of Culvert Arches Over River Medlock And Associated Overflow Channel,Grade II listed building,culvert,Manchester
Lancaster Canal Newton Beck Culvert,Grade II listed building,culvert,Lancaster
"Sandstone Railway Culvert, Wulkuraka",listed on the Queensland Heritage Register,culvert,Queensland
"Sandstone Railway Culvert, North Ipswich",listed on the Queensland Heritage Register,culvert,Queensland
Wheat Creek Culvert,listed on the Queensland Heritage Register,culvert,Queensland
