col0,col1,col2,col3,col4
Soyuz TMA-14M,Kazakhstan,Yelena Serova,Soyuz programme,low Earth orbit
Soyuz TMA-10M,Kazakhstan,Sergey Ryazansky,Soyuz programme,low Earth orbit
Soyuz TMA-17M,Kazakhstan,Kjell N. Lindgren,Soyuz programme,low Earth orbit
Soyuz TMA-13M,Kazakhstan,Gregory Reid Wiseman,Soyuz programme,low Earth orbit
Soyuz TMA-10M,Kazakhstan,Michael S. Hopkins,Soyuz programme,low Earth orbit
Soyuz TMA-08M,Kazakhstan,Alexander Misurkin,Soyuz programme,low Earth orbit
Soyuz TMA-09M,Kazakhstan,Luca Parmitano,Soyuz programme,low Earth orbit
Soyuz TMA-07M,Kazakhstan,Chris Hadfield,Soyuz programme,low Earth orbit
Soyuz TMA-04M,Kazakhstan,Sergei Revin,Soyuz programme,low Earth orbit
Soyuz TMA-06M,Kazakhstan,Oleg Novitskiy,Soyuz programme,low Earth orbit
