col0,col1,col2,col3,col4
Milne Bay Seascape,Bramble Haven,Milne Bay Province,Tentative World Heritage Site,natural phenomena or areas of exceptional natural beauty
"Manono, Apolima and Nu'ulopa Cultural Landscape",Apolima,Aiga-i-le-Tai,Tentative World Heritage Site,traditional human settlement or land-use
Milne Bay Seascape,Bramble Haven,Milne Bay Province,Tentative World Heritage Site,traditional human settlement or land-use
The Loire Valley between Sully-sur-Loire and Chalonnes,Meung-sur-Loire,Centre-Val de Loire,UNESCO World Heritage Site,object illustrates  significant stage in human history
"Manono, Apolima and Nu'ulopa Cultural Landscape",Apolima,Aiga-i-le-Tai,Tentative World Heritage Site,unique to a cultural tradition
Milne Bay Seascape,Bramble Haven,Milne Bay Province,Tentative World Heritage Site,unique to a cultural tradition
The Loire Valley between Sully-sur-Loire and Chalonnes,La Riche,Centre-Val de Loire,UNESCO World Heritage Site,masterpiece of human creative genius
Natural and Culturo-Historical Region of Kotor,Kotor,Kotor,UNESCO World Heritage Site,masterpiece of human creative genius
The Loire Valley between Sully-sur-Loire and Chalonnes,Cléry-Saint-André,Centre-Val de Loire,UNESCO World Heritage Site,masterpiece of human creative genius
The Olive Grove Landscapes of Andalusia,Baeza,Andalusia,Tentative World Heritage Site,cultural object with outstanding universal significance
Group of Mozarabic buildings on the Iberian Peninsula,Santa Maria de Lara,Galicia,Tentative World Heritage Site,cultural object with outstanding universal significance
The Olive Grove Landscapes of Andalusia,Baeza,Andalusia,Tentative World Heritage Site,traditional human settlement or land-use
