col0,col1,col2,col3
MV Zenith,47413,Celebrity Cruises,Monrovia
MV Ocean Pearl,18416,Royal Caribbean International,Panama City
MSC Divina,139072,MSC Cruises,Panama City
MSC Musica,92409,MSC Cruises,Panama City
Costa Classica,53000,Costa Cruises,Naples
IMO 9141077,75338,Dream Cruises,Nassau
SS Maxim Gorkiy,24981,Orient Lines,Nassau
MV Ocean Pearl,18416,International Shipping Partners,Nassau
MV Boudicca,28551,Birka Line,Nassau
SS Maxim Gorkiy,24981,Black Sea Shipping Company,Nassau
MV Artania,44348,Phoenix Reisen,Nassau
MV Boudicca,28551,Ibero Cruises,Nassau
SS Maxim Gorkiy,24981,Hamburg Atlantic Line,Nassau
MS Amadea,28856,Nippon Yusen,Nassau
SuperStar Libra,42275,Genting Group,Nassau
