col0,col1,col2,col3,col4,col5,col6
Hurricane Ele,945,Category 3 hurricane,2002 Pacific hurricane season,Pacific hurricane,2002-08-25,140
Hurricane Felix,962,Category 3 hurricane,2001 Atlantic hurricane season,Atlantic hurricane,2001-09-07,185
Hurricane Paul,970,Category 2 hurricane,2006 Pacific hurricane season,Pacific hurricane,2006-10-21,90
Tropical Storm Henri,1005,Category 2 hurricane,2009 Atlantic hurricane season,Atlantic hurricane,2009-10-06,85
Hurricane Frances,976,Category 1 hurricane,1992 Atlantic hurricane season,Atlantic hurricane,1992-10-23,140
Hurricane Kristy,985,Category 1 hurricane,2006 Pacific hurricane season,Pacific hurricane,2006-08-30,70
Hurricane Bob,1002,Category 1 hurricane,1985 Atlantic hurricane season,Atlantic hurricane,1985-07-21,65
Hurricane Danny,1000,Category 1 hurricane,2003 Atlantic hurricane season,Atlantic hurricane,2003-07-16,120
Tropical storm Hermine,1002,tropical storm,2004 Atlantic hurricane season,Atlantic hurricane,2004-08-27,95
Tropical Storm Norma,997,tropical storm,2005 Pacific hurricane season,Pacific hurricane,2005-09-23,92.6
Tropical storm Otto,995,tropical storm,2004 Atlantic hurricane season,Atlantic hurricane,2004-11-29,85
Tropical Storm Edouard,1002,tropical storm,2002 Atlantic hurricane season,Atlantic hurricane,2002-09-01,55
Tropical storm Dolly,997,tropical storm,2002 Atlantic hurricane season,Atlantic hurricane,2002-08-29,95
