col0,col1,col2,col3
Wilhelmshaven,1869-01-01,Friesland,Lake Bant
Erlangen,1002-01-01,Erlangen-Höchstadt,Schwabach
Wilhelmshaven,1869-01-01,Friesland,Innenjade
Gera,0995-01-01,Burgenlandkreis,Gessenbach
Erlangen,1002-01-01,Erlangen-Höchstadt,Regnitz
Salzgitter,1942-04-01,Brunswick,Fuhse
Wilhelmshaven,1869-01-01,Friesland,Jade Bight
Erlangen,1002-01-01,Fürth,Aurach
Gera,0995-01-01,Burgenlandkreis,Weisse Elster
Trier,-0015-01-01T00:00:00Z,Aach,Moselle
Augsburg,-0014-01-01T00:00:00Z,Aichach-Friedberg,Singold
Bremerhaven,1827-05-01,Cuxhaven,Lune
Augsburg,-0014-01-01T00:00:00Z,Aichach-Friedberg,Wertach
Wuppertal,1929-01-01,Solingen,Wupper
