col0,col1,col2,col3
Volkswagen,automotive industry,KdF Wagen,1937-05-28
Renault,automotive industry,Fernand Renault,1898-12-24
Cadillac,automotive industry,"Antoine Laumet de La Mothe, sieur de Cadillac",1902-01-01
Oldsmobile,automotive industry,Ransom E. Olds,1897-01-01
Renault,automotive industry,Marcel Renault,1898-12-24
Buick,automotive industry,David Dunbar Buick,1903-01-01
Toyota,automotive industry,Kiichiro Toyoda,1937-08-28
Renault,automotive industry,Louis Renault,1898-12-24
Mercedes-Benz,automotive industry,Mercédès Jellinek,1926-01-01
Mercedes-AMG,automotive industry,Aspach,1967-06-01
Horch,automotive industry,August Horch,1904-01-01
Audi,automotive industry,August Horch,1909-01-01
Opel,automotive industry,Adam Opel,1862-01-21
Mercedes-Benz,automotive industry,Karl Benz,1926-01-01
