col0,col1,col2,col3,col4,col5
Selçikler,Turkey,900,Sivaslı,UTC+03:00,belde
Taşkesti,Turkey,560,Bolu Province,UTC+03:00,belde
Tepealan,Turkey,660,Korgan,UTC+03:00,belde
Turgut,Turkey,550,Yatağan,UTC+03:00,belde
Yeditepe,Turkey,765,Yayladağı,UTC+03:00,belde
Çerçili,Turkey,900,Erdemli District,UTC+03:00,belde
Çiftepınar,Turkey,210,Erdemli District,UTC+03:00,belde
Göksu,Turkey,320,Mut,UTC+03:00,geographical object
Nebioğlu,Turkey,80,Çaycuma,UTC+03:00,human settlement
Çeltikçi,Turkey,850,Kızılcahamam,UTC+03:00,human settlement
Omurca,Turkey,950,Ulubey,UTC+03:00,human settlement
