col0,col1,col2,col3
Davis Rules,American Broadcasting Company,John Bowab,2
Billy,American Broadcasting Company,John Bowab,1
"Ace Crawford, Private Eye",CBS,Michael Preece,1
Down the Shore,Fox Broadcasting Company,Zane Buzby,2
The Fanelli Boys,NBC,Steve Zuckerman,1
The Tracy Morgan Show,NBC,Sheldon Epps,1
True Colors,Fox Broadcasting Company,Rob Schiller,2
Buddies,American Broadcasting Company,Paul Lazarus,1
Barbershop,Showtime,Linda Mendoza,1
The Tracy Morgan Show,NBC,"Leonard R. Garner, Jr.",1
