col0,col1,col2,col3,col4,col5,col6
Beaver Township,township of Iowa,36.1,Grove Township,United States of America,Humboldt County,1132
Avery Township,township of Iowa,36.2,Wacousta Township,United States of America,Humboldt County,1142
Rutland Township,township of Iowa,34.8,Delana Township,United States of America,Humboldt County,351
Marion Township,township of Iowa,36.6,Richland Township,United States of America,Franklin County,377
Mott Township,township of Iowa,32.76,Ross Township,United States of America,Franklin County,338
Grant Township,township of Iowa,35.83,Reeve Township,United States of America,Franklin County,366
Sidney Township,township of Iowa,73.4,Green Township,United States of America,Fremont County,319
Twin Lake Township,township of Iowa,35.77,Liberty Township,United States of America,Hancock County,383
West Fork Township,township of Iowa,36.65,Dougherty Township,United States of America,Franklin County,317
Riverton Township,township of Iowa,29.95,Prairie Township,United States of America,Fremont County,283
