col0,col1,col2,col3,col4,col5
海,Hanja,毎,Basic Hanja for educational use,grade 2 kyōiku kanji,해
帝,chữ Nôm,⿱,Basic Hanja for educational use,Jōyō kanji,제
天,kanji,一,Basic Hanja for educational use,grade 1 kyōiku kanji,천
雪,kanji,⿱,Table of standardized forms for frequently used national characters,grade 2 kyōiku kanji,설
亮,kanji,口,Table of standardized forms for frequently used national characters,jinmeiyō kanji,량
如,kanji,口,Basic Hanja for educational use,Jōyō kanji,여
情,kanji,⿰,Table of General Standard Chinese Characters,grade 5 kyōiku kanji,정
雨,kanji,Radical 13,Basic Hanja for educational use,grade 1 kyōiku kanji,우
海,chữ Nôm,毎,Basic Hanja for educational use,grade 2 kyōiku kanji,해
兒,Hanja,⿱,Basic Hanja for educational use,jinmeiyō kanji,아
