col0,col1,col2,col3,col4
Canon EOS 6D Mark II,Canon,Canon EOS 6D,full-frame digital SLR,Canon Inc.
Canon EOS 5D Mark IV,Canon,Canon EOS 5D Mark III,full-frame digital SLR,Canon Inc.
Canon EOS M5,Canon,Canon EOS M3,mirrorless interchangeable-lens camera,Canon Inc.
Canon EOS 77D,Canon,Canon EOS 760D,digital single-lens reflex camera,Canon Inc.
Canon EOS 800D,Canon,Canon EOS 750D,digital single-lens reflex camera,Canon Inc.
Canon EOS 1300D,Canon,Canon EOS 1200D,digital single-lens reflex camera,Canon Inc.
Canon EOS 80D,Canon,Canon EOS 70D,digital single-lens reflex camera,Canon Inc.
Canon EOS 200D,Canon,Canon EOS 100D,digital single-lens reflex camera,Canon Inc.
Canon EOS M10,Canon,Canon EOS M3,digital camera,Canon Inc.
Canon PowerShot G1 X Mark III,Canon,Canon PowerShot G1 X Mark II,digital camera,Canon Inc.
Canon EOS 1D X Mark II,Canon,Canon EOS-1D X,digital camera,Canon Inc.
