col0,col1,col2,col3,col4
Register of Applications for Employment,"National Archives at Washington, DC - Textual Reference",1835-01-01,0,National Archives and Records Administration
Records of Compensation of Agents,"National Archives at Washington, DC - Textual Reference",1831-01-01,0,National Archives and Records Administration
Account Ledger,"National Archives at Washington, DC - Textual Reference",1833-01-01,0,National Archives and Records Administration
Reserve Papers,"National Archives at Washington, DC - Textual Reference",1907-01-01,0,National Archives and Records Administration
Social Workers' Reports,"National Archives at Washington, DC - Textual Reference",1948-01-01,0,National Archives and Records Administration
Card Files Relating to Land Acquisition and Utilization,"National Archives at Washington, DC - Textual Reference",1947-01-01,0,National Archives and Records Administration
Records Relating to Land Transfers from Federal Agencies,"National Archives at Washington, DC - Textual Reference",1944-01-01,0,National Archives and Records Administration
Records Relating to Indian Reorganization Act,"National Archives at Washington, DC - Textual Reference",1946-01-01,0,National Archives and Records Administration
Deposits and Disbursements Ledger,National Archives at Riverside,1899-01-01,0,National Archives and Records Administration
Correspondence and Other Records Relating to Enrollment,National Archives at Denver,1939-01-01,0,National Archives and Records Administration
General Agency Reports,National Archives at Denver,1938-01-01,0,National Archives and Records Administration
