col0,col1,col2,col3
1977 Cincinnati Open,United States of America,Cincinnati Masters,1976 Cincinnati Open
1976 Cincinnati Open,United States of America,Cincinnati Masters,1975 Cincinnati Open
1975 Cincinnati Open,United States of America,Cincinnati Masters,1974 Cincinnati Open
1974 Cincinnati Open,United States of America,Cincinnati Masters,1973 Cincinnati Open
1973 Cincinnati Open,United States of America,Cincinnati Masters,1972 Cincinnati Open
1972 Cincinnati Open,United States of America,Cincinnati Masters,1971 Cincinnati Open
1971 Cincinnati Open,United States of America,Cincinnati Masters,1970 Cincinnati Open
1991 Thriftway ATP Championships,United States of America,Cincinnati Masters,1990 Thriftway ATP Championships
2001 Cincinnati Masters,United States of America,Cincinnati Masters,2000 Cincinnati Masters
1997 Great American Insurance ATP Championships,United States of America,Cincinnati Masters,1996 Great American Insurance ATP Championships
2002 Western & Southern Financial Group Masters,United States of America,Cincinnati Masters,2001 Cincinnati Masters
1986 Cincinnati Open,United States of America,Cincinnati Masters,1985 Cincinnati Open
2007 Western & Southern Financial Group Masters and Women's Open,United States of America,Cincinnati Masters,2006 Western & Southern Financial Group Masters and Women's Open
2011 Western & Southern Open,United States of America,Cincinnati Masters,2010 Western & Southern Financial Group Masters and Women's Open
