col0,col1,col2,col3,col4,col5
[VHH81] 100,201.2170581679997,Centaurus A,158,J2000.0,-6.819
[PFF2004] gc 28,201.2547686912565,Centaurus A,503,J2000.0,-2.077
[WHH2005] 12,201.3261202790638,Centaurus A,379,J2000.0,-0.922
[HGH92] G302,201.2219421252707,Centaurus A,271,J2000.0,-1.093
[VHH81] 31,201.239252542938,Centaurus A,613,J2000.0,-0.988
[PFF2004] gc 22,201.2262669595374,Centaurus A,592,J2000.0,-6.186
[HGH92] G279,201.2343506568289,Centaurus A,259,J2000.0,-1.193
[HGH92] G329,201.2923793908697,Centaurus A,485,J2000.0,-0.161
[R2001b] f2.GC-61,201.3036246383201,Centaurus A,614,J2000.0,0.321
[HGH92] G169,201.3725528667963,Centaurus A,674,J2000.0,-1.197
