col0,col1,col2,col3,col4,col5,col6
TAC Cup Nanjing Challenger,Nanjing,clay court,recurring tennis tournament,tennis,2016-01-01,tennis tournament
RC Hotel Open,Jönköping,hardcourt,recurring tennis tournament,tennis,2016-01-01,tennis tournament
Torneo de Mendoza,Mendoza,clay court,recurring tennis tournament,tennis,2016-01-01,tennis tournament
ATP Challenger 2001 Team Padova,Padua,clay court,recurring tennis tournament,tennis,2015-01-01,tennis tournament
Tianjin Health Industry Park,Tianjin,hardcourt,recurring tennis tournament,tennis,2014-01-01,tennis tournament
ONGC–GAIL Delhi Open,New Delhi,hardcourt,recurring tennis tournament,tennis,2016-01-01,tennis tournament
Washington Indoor,"Washington, D.C.",carpet court,recurring tennis tournament,tennis,1980-01-01,tennis tournament
WTA Argentine Open,Buenos Aires,clay court,recurring tennis tournament,tennis,1987-01-01,WTA tennis tournament
WCT Invitational,Forest Hills,clay court,recurring tennis tournament,tennis,1981-01-01,tennis tournament
WCT Challenge Cup,Montreal,hardcourt,recurring tennis tournament,tennis,1980-01-01,tennis tournament
Surrey Grass Court Championships,Surbiton,grass court,recurring tennis tournament,tennis,1981-01-01,tennis tournament
Sunset Moulding YCRC Challenger,Yuba City,hardcourt,recurring tennis tournament,tennis,2010-01-01,tennis tournament
