col0,col1,col2,col3
Selden Neck State Park,United States of America,21,Connecticut state park
Rocky Glen State Park,United States of America,110,Connecticut state park
Quaddick State Park,United States of America,138,Connecticut state park
Mount Tom State Park,United States of America,299,Connecticut state park
Lamentation Mountain State Park,United States of America,100,Connecticut state park
Indian Well State Park,United States of America,25,Connecticut state park
Hurd State Park,United States of America,70,Connecticut state park
Higganum Reservoir State Park,United States of America,32,Connecticut state park
Haddam Meadows State Park,United States of America,3,Connecticut state park
Haddam Island State Park,United States of America,11,Connecticut state park
George Dudley Seymour State Park,United States of America,40,Connecticut state park
Dart Island State Park,United States of America,4,Connecticut state park
Brainard Homestead State Park,United States of America,54,Connecticut state park
