col0,col1,col2,col3
"Xinshi Subdistrict, Xi'an",369,Lintong District,28153
"Jian'an Subdistrict, Shijiazhuang",261,"Chang'an District, Shijiazhuang",47756
Changshou Subdistrict,80,Xinle City,99347
"Hepingli Subdistrict, Baoding",80,Lianchi District,50436
Hebei Road Subdistrict,74,Lubei District,40597
"Lianmeng Subdistrict, Baoding",63,Lianchi District,26432
"Hongxing Subdistrict, Baoding",76,Lianchi District,16187
"Dongguan Subdistrict, Baoding",71,Lianchi District,75027
Jiantong Subdistrict,239,Yuhua District,69198
Huaidi Subdistrict,246,Yuhua District,80918
"Dongyuan Subdistrict, Shijiazhuang",250,Yuhua District,74623
"Changjiang Subdistrict, Shijiazhuang",69,Yuhua District,63694
