col0,col1,col2,col3,col4,col5
McCourt,English,family name,Latin script,McCourt,McCourt
McIlwraith,English,surname prefixed with Mac or Mc,Latin script,McIlwraith,McIlwraith
McNaughton,English,surname prefixed with Mac or Mc,Latin script,McNaughton,McNaughton
McGrath,English,surname prefixed with Mac or Mc,Latin script,McGrath,McGrath
McIlwraith,English,family name,Latin script,McIlwraith,McIlwraith
McNaughton,English,family name,Latin script,McNaughton,McNaughton
McGrath,English,family name,Latin script,McGrath,McGrath
McNally,English,family name,Latin script,McNally,McNally
McNair,English,surname prefixed with Mac or Mc,Latin script,McNair,McNair
McDonald,English,surname prefixed with Mac or Mc,Latin script,McDonald,McDonald
