col0,col1,col2,col3,col4,col5,col6
2030 Swedish Badminton Championships,2031 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2029 Swedish Badminton Championships,2030-01-01,Swedish Badminton Championships,national championship
2029 Swedish Badminton Championships,2030 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2028 Swedish Badminton Championships,2029-01-01,Swedish Badminton Championships,national championship
2028 Swedish Badminton Championships,2029 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2027 Swedish Badminton Championships,2028-01-01,Swedish Badminton Championships,national championship
2027 Swedish Badminton Championships,2028 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2026 Swedish Badminton Championships,2027-01-01,Swedish Badminton Championships,national championship
2026 Swedish Badminton Championships,2027 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2025 Swedish Badminton Championships,2026-01-01,Swedish Badminton Championships,national championship
2025 Swedish Badminton Championships,2026 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2024 Swedish Badminton Championships,2025-01-01,Swedish Badminton Championships,national championship
2024 Swedish Badminton Championships,2025 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2023 Swedish Badminton Championships,2024-01-01,Swedish Badminton Championships,national championship
2023 Swedish Badminton Championships,2024 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2022 Swedish Badminton Championships,2023-01-01,Swedish Badminton Championships,national championship
2022 Swedish Badminton Championships,2023 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2021 Swedish Badminton Championships,2022-01-01,Swedish Badminton Championships,national championship
2021 Swedish Badminton Championships,2022 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2020 Swedish Badminton Championships,2021-01-01,Swedish Badminton Championships,national championship
2020 Swedish Badminton Championships,2021 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2019 Swedish Badminton Championships,2020-01-01,Swedish Badminton Championships,national championship
2019 Swedish Badminton Championships,2020 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2018 Swedish Badminton Championships,2019-01-01,Swedish Badminton Championships,national championship
2018 Swedish Badminton Championships,2019 Swedish Badminton Championships,WikiProject Badminton/tournament focus list,2017 Swedish Badminton Championships,2018-01-01,Swedish Badminton Championships,national championship
