col0,col1,col2,col3
Aphrodite,Zeus,religion in ancient Greece,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Juno,Saturn,religion in ancient Rome,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Ceres,Saturn,religion in ancient Rome,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Minerva,Jupiter,religion in ancient Rome,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Eris,Zeus,Discordianism,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Aphrodite,Cronus,religion in ancient Greece,Great Soviet Encyclopedia (1926–1947)
Athena,Zeus,religion in ancient Greece,Great Soviet Encyclopedia (1926–1947)
Aphrodite,Zeus,religion in ancient Greece,Great Soviet Encyclopedia (1926–1947)
Hecate,Perses,religion in ancient Greece,Small Brockhaus and Efron Encyclopedic Dictionary
Selene,Hyperion,religion in ancient Greece,Small Brockhaus and Efron Encyclopedic Dictionary
Aphrodite,Uranus,religion in ancient Greece,Small Brockhaus and Efron Encyclopedic Dictionary
