col0,col1,col2,col3,col4,col5
KVIrc,Linux,Internet Relay Chat,IRC client,GNU General Public License,C++
ERC,OpenBSD,Internet Relay Chat,IRC client,"GNU General Public License, version 3.0",Emacs Lisp
Konversation,Unix-like,Internet Relay Chat,IRC client,GNU General Public License,C++
ircII,Unix-like,Internet Relay Chat,IRC client,3-clause BSD License,C
mIRC,Microsoft Windows,Internet Relay Chat,IRC client,shareware,C++
WeeChat,Linux,Internet Relay Chat,console application,"GNU General Public License, version 3.0",C
Quassel IRC,Linux,Internet Relay Chat,open-source software,"GNU General Public License, version 3.0",C++
WeeChat,Linux,Internet Relay Chat,application,"GNU General Public License, version 3.0",C
rcirc,Microsoft Windows,Internet Relay Chat,free software,"GNU General Public License, version 3.0",Emacs Lisp
WeeChat,Linux,Internet Relay Chat,free software,"GNU General Public License, version 3.0",C
Quassel IRC,Linux,Internet Relay Chat,free software,"GNU General Public License, version 3.0",C++
