col0,col1,col2,col3,col4,col5,col6,col7
SDSS J201944.82-130424.2,hypervelocity star,-0.00001,Capricornus,17.899,-13.0733757868041,0.2494,-0.52
SDSS J222249.23+003524.9,hypervelocity star,-0.00013,Aquarius,16.496,0.5902580202919,0.7132,0.19
SDSS J070723.05+304340.6,hypervelocity star,0.00004,Gemini,16.801,30.7279606413043,0.0617,-0.48
SDSS J072427.08+403554.1,hypervelocity star,-0.0001,Auriga,18.887,40.5983882356403,0.1257,-0.65
SDSS J215649.15+462033.3,hypervelocity star,-0.00011,Cygnus,18.723,46.3425988256699,0.1524,-0.13
SDSS J103026.64+080707.6,hypervelocity star,0.00065,Leo,18.713,8.1188128874413,0.4203,-0.57
SDSS J131300.50+003337.4,hypervelocity star,0.00022,Virgo,18.755,0.5604050645631,0.2921,-0.53
[BGK2006] HV 4,hypervelocity star,0.00202,Cancer,18.5,30.855524765263,0.3632,0
SDSS J065138.66+365934.8,hypervelocity star,-0.00004,Auriga,18.171,36.9929928441756,0.15,-0.65
SDSS J071033.39+392823.8,hypervelocity star,0.00002,Auriga,18.004,39.4732845397534,0.8296,-0.67
SDSS J031104.33+414435.5,hypervelocity star,-0.00008,Perseus,18.199,41.7432082608714,0.6224,-0.44
