col0,col1,col2,col3,col4,col5
Hawaiian Journey Theater,United States of America,"55-370 Kamehameha Highway, Laie, HI 96762",Hawaii,Polynesian Cultural Center,IMAX theatre
LeFrak Theater,United States of America,"Central Park West at 79th Street, New York, NY 10024-5192",Manhattan,American Museum of Natural History,IMAX theatre
Reuben H. Fleet Science Center IMAX Theater,United States of America,"1875 El Prado, San Diego, CA 92101",San Diego,Reuben H. Fleet Science Center,IMAX theatre
Pacific Science Center IMAX Theatres,United States of America,"200 2nd Avenue N, Seattle, WA 98109",Seattle,Pacific Science Center,IMAX theatre
New Horizons Dome Theater & Planetarium,United States of America,"3198 State Route 2001, Alamogordo, NM 88310",Alamogordo,New Mexico Museum of Space History,IMAX theatre
Simons IMAX Theatre at the New England Aquarium,United States of America,"Central Wharf, Boston, MA 02110",Boston,New England Aquarium,IMAX theatre
IMAX at the Maritime Aquarium,United States of America,"10 North Water Street, Norwalk, CT 06854",Norwalk,Maritime Aquarium at Norwalk,IMAX theatre
IMAX at Bullock Texas State History Museum,United States of America,"1800 Congress Avenue, Austin, TX 78701",Austin,Bullock Texas State History Museum,IMAX theatre
Lockheed Martin IMAX Theater,United States of America,"601 Independence Avenue SW, Washington, D.C. 20560","Washington, D.C.",National Air and Space Museum,IMAX theatre
Science Museum IMAX Cinema,United Kingdom,"Exhibition Road, London, SW7 2DD, England",Royal Borough of Kensington and Chelsea,Science Museum,IMAX theatre
Pepsi IMAX Theatre,United Kingdom,"Trocadero, 13 Coventry Street, London, W1D 7DH, England",City of Westminster,London Trocadero,IMAX theatre
Picturehouse at the National Media Museum,United Kingdom,"Prince's View, Bradford, BD1 1NQ, England",Bradford,National Science and Media Museum,IMAX theatre
AMC Navy Pier IMAX,United States of America,"700 E. Grand Avenue,Chicago, IL 60611",Chicago,Navy Pier,IMAX theatre
