col0,col1,col2,col3
Dr. Jekyll,Mr. Hyde,United Kingdom of Great Britain and Ireland,English
Friedrich Bhaer,Professor Bhaer,Prussia,English
John Brooke,Mr John Brooke,United States of America,English
Mr. Laurence,Mr Laurence,United States of America,English
Laurie,"Theodore ""Laurie"" Laurence",United States of America,English
Meg March,Meg,United States of America,English
Mr. Dashwood,Dashwood,United States of America,English
Beth March,Beth,United States of America,English
Amy March,Amy,United States of America,English
Friedrich Bhaer,Professor Bhaer,Prussia,German
