col0,col1,col2,col3,col4
Nyköpingsån,3631.6,157,Yngaren,Katrineholm Municipality
Trosaån,572,12,Sillen,Trosa Municipality
Helge å,4748.9,200,Möckeln,Osby Municipality
Nyköpingsån,3631.6,157,Yngaren,Nyköping Municipality
Helge å,4748.9,200,Möckeln,Östra Göinge Municipality
Nyköpingsån,3631.6,157,Yngaren,Vingåker Municipality
Stångån,2440,185,Åsunden Östergötland,Östergötland County
Mörrumsån,3369,185,Åsnen,Kronoberg County
Kolbäcksån,3118,180,Barken,Dalarna County
Gavleån,2459.5,30,Storsjön,Gävleborg County
Svartån,3410,165,Roxen,Jönköping County
Kävlinge River,1203.8,90,Vombsjön,Skåne County
Säveån,1475,130,Säven,Västra Götaland County
Ätran,3343,243,Lönern,Västra Götaland County
Säveån,1475,130,Aspen,Västra Götaland County
