col0,col1,col2,col3,col4
Coto Brus Canton,Costa Rica,Puntarenas Province,859,San Vito
Turrubares Canton,Costa Rica,San José Province,350,"San Pablo District, Turrubares"
León Cortés Castro Canton,Costa Rica,San José Province,1537,"San Pablo District, León Cortés Castro"
Vásquez de Coronado Canton,Costa Rica,San José Province,1385,"San Isidro District, Vásquez de Coronado"
Acosta Canton,Costa Rica,San José Province,1039,San Ignacio
Belén Canton,Costa Rica,Heredia Province,983,San Antonio de Belén
Osa Canton,Costa Rica,Puntarenas Province,27,Ciudad Cortés
Montes de Oro Canton,Costa Rica,Puntarenas Province,306,Miramar District
Matina Canton,Costa Rica,Limón Province,15,Matina District
La Cruz Canton,Costa Rica,Guanacaste Province,248,La Cruz
Pococí Canton,Costa Rica,Limón Province,26,Guápiles
Guácimo Canton,Costa Rica,Limón Province,78,Guácimo
Goicoechea Canton,Costa Rica,San José Province,1204,Guadalupe
