col0,col1,col2,col3
Doktor Nauk in Sociology,sociology,Ukraine,Doctor of Sciences
Doktor Nauk in Architecture,architecture,Ukraine,Doctor of Sciences
Doctor of Sciences in Medicine,medicine,Ukraine,Doctor of Sciences
Doktor Nauk in Social Communication,journalism,Ukraine,Doctor of Sciences
Doctor in Engineering,engineering,Ukraine,Doctor of Sciences
Doktor Nauk in Psychology,psychology,Ukraine,Doctor of Sciences
Doctor of Economics,economics,Ukraine,Doctor of Sciences
Doktor Nauk in Pedagogy,pedagogy,Ukraine,Doctor of Sciences
Doktor Nauk in Chemistry,chemistry,Ukraine,Doctor of Sciences
Doktor Nauk in Geography,geography,Ukraine,Doctor of Sciences
Doktor Nauk in Geology,geology,Ukraine,Doctor of Sciences
Doktor Nauk in Biology,biology,Ukraine,Doctor of Sciences
Doctor of Sciences in Physics and Mathematics,mathematics,Ukraine,Doctor of Sciences
Doktor Nauk in Physical culture and Sport,sport,Ukraine,Doctor of Sciences
Doktor Nauk in Architecture,architecture,Belarus,Doctor of Sciences
