col0,col1,col2,col3
"Saints Augustinus, Saint Catherine of Alexandria and Saint Anthony of Padua",public domain,145.5,reredos
Wings of Pala Bichi,public domain,146.5,reredos
"Saints Eustachia, Mary Magdalene and Saint Jerome",public domain,146.5,reredos
Penetecost,public domain,166.5,reredos
Altarpiece of the Saints John,public domain,344,reredos
Altarpiece of Saint Michael,public domain,174,reredos
Adoration of the Magi,public domain,130.2,painting
Triptych of the Resurrection,public domain,61.5,painting
The Throne of Grace,public domain,167,painting
"The Madonna and Child Surrounded by Six Angels, St. Anthony of Padua, St. John the Evangelist",public domain,207,painting
