col0,col1,col2,col3
Cainhoe Castle,scheduled monument,Bedfordshire,earthwork
Burg Absberg,bodendenkmal,Absberg,Burgstall
Tomen y Castell,scheduled monument,Conwy County Borough,archaeological site
Wiston Castle,Grade I listed building,Wiston,archaeological site
Watch Hill Castle,scheduled monument,Bowdon,archaeological site
Tibbers Castle,scheduled monument,Dumfries and Galloway,archaeological site
Leicester Castle,Grade I listed building,Leicester,archaeological site
Hen Domen,scheduled monument,Montgomery,archaeological site
Groby Castle,scheduled monument,Groby,archaeological site
Cainhoe Castle,scheduled monument,Bedfordshire,archaeological site
Bedford Castle,scheduled monument,Bedford,archaeological site
Norwich Castle,scheduled monument,Norwich,archaeological site
Fotheringhay Castle,scheduled monument,Fotheringhay,archaeological site
Drusenküppel,Kulturdenkmal,Hesse,archaeological site
Burgstall Klingenberg,Kulturdenkmal,Aichach,archaeological site
