col0,col1,col2,col3
Bamberg,77179,Brockhaus and Efron Encyclopedic Dictionary,Bedford
Brandenburg an der Havel,72124,Brockhaus and Efron Encyclopedic Dictionary,Ivry-sur-Seine
Bamberg,77179,Brockhaus and Efron Encyclopedic Dictionary,Rodez
Bayreuth,73999,Brockhaus and Efron Encyclopedic Dictionary,Tekirdağ
Bamberg,77179,Brockhaus and Efron Encyclopedic Dictionary,Esztergom
Wilhelmshaven,76278,Brockhaus and Efron Encyclopedic Dictionary,Qingdao
Worms,83081,Brockhaus and Efron Encyclopedic Dictionary,Tiberias
Brandenburg an der Havel,72124,Brockhaus and Efron Encyclopedic Dictionary,Magnitogorsk
Wilhelmshaven,76278,Brockhaus and Efron Encyclopedic Dictionary,Vichy
Worms,83081,Brockhaus and Efron Encyclopedic Dictionary,Mobile
Neumünster,79487,Brockhaus and Efron Encyclopedic Dictionary,Koszalin
