col0,col1,col2,col3
tab,computer science term,multiple document interface,widget
window,computer science term,text-based user interface,widget
method,computer science term,object-oriented programming,subroutine
Automatic programming,computer science term,Model-based design,metaprogramming
statement,computer science term,computer program,control flow
invariant,computer science term,computer program,predicate
subroutine,computer science term,computer program,control flow
computer programming,academic major,computer science,skill
monad,abstract data type,Haskell,software design pattern
Automatic programming,programming paradigm,Model-based design,metaprogramming
active window,computer science term,graphical user interface,window
monad,abstract data type,Haskell,monad
software add-on,computer science term,computer program,data set
branch,computer science term,algorithm,control flow
