col0,col1,col2,col3
"Architectural drawing from the Engetrim archive, ref. obj-0002293",1901-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002292",1904-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002291",1905-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002290",1911-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002288",1901-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002287",1892-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002284",1909-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002283",1894-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002264",1897-01-01,public domain,Flanders Architecture Institute collection
"Architectural drawing from the Engetrim archive, ref. obj-0002260",1893-01-01,public domain,Flanders Architecture Institute collection
