col0,col1,col2,col3,col4
2016 Polish Open Badminton Championships,open championship,Warsaw,Poland,2016 Polish Open Badminton Championships – Mixed doubles
2015 Polish Open Badminton Championships,open championship,Arłamów,Poland,2015 Polish Open Badminton Championships – Mixed doubles
2014 Polish Open Badminton Championships,open championship,Warsaw,Poland,2014 Polish Open Badminton Championships – Mixed doubles
2013 Polish Open Badminton Championships,open championship,Warsaw,Poland,2013 Polish Open Badminton Championships – Mixed doubles
2011 Polish International Badminton Championships,open championship,Białystok,Poland,2011 Polish International Badminton Championships – Mixed doubles
2008 Polish International Badminton Championships,open championship,Warsaw,Poland,2008 Polish International Badminton Championships – Mixed doubles
1988 Polish International Badminton Championships,open championship,Warsaw,Poland,1988 Polish International Badminton Championships – Mixed doubles
1986 Polish International Badminton Championships,open championship,Warsaw,Poland,1986 Polish International Badminton Championships – Mixed doubles
1983 Polish International Badminton Championships,open championship,Warsaw,Poland,1983 Polish International Badminton Championships – Mixed doubles
1982 Polish International Badminton Championships,open championship,Warsaw,Poland,1982 Polish International Badminton Championships – Mixed doubles
1978 Polish International Badminton Championships,open championship,Wrocław,Poland,1978 Polish International Badminton Championships – Mixed doubles
