col0,col1,col2,col3
Ennismore Gardens,garden square,United Kingdom,Kensington Road
Princes Gardens,street,United Kingdom,Exhibition Road
Ennismore Gardens,street,United Kingdom,Kensington Road
Bessborough Gardens,road,United Kingdom,Millbank
Paddington Green,area of London,United Kingdom,Church Street
Leinster Square,garden square,United Kingdom,Prince's Square
Trevor Square,garden square,United Kingdom,Trevor Place
Cartwright Gardens,garden square,United Kingdom,Marchmont Street
Edwardes Square,garden square,United Kingdom,Kensington High Street
Dorset Square,garden square,United Kingdom,Balcombe Street
Pelham Crescent,garden square,United Kingdom,Fulham Road
Chesham Place,garden square,United Kingdom,Belgrave Square
Wilton Crescent,garden square,United Kingdom,Belgrave Square
The Boltons,garden square,United Kingdom,Gilston Road
