col0,col1,col2,col3
Kondor D 2,aircraft model,2.41,German Empire
Kondor D 1,aircraft model,2.4,German Empire
D 6,aircraft model,2.53,German Empire
Waco 9,aircraft model,7,United States of America
Stout 2-AT Pullman,aircraft model,13,United States of America
Tiira,aircraft,1.4,Finland
SZD-51 Junior,aircraft model,1.51,Poland
Br.1050 Alizé,aircraft model,5,France
SZD-59 Acro,aircraft model,1.5,Poland
Schleicher ASK 21,aircraft model,1.55,Germany
DG Flugzeugbau LS10,aircraft model,1.33,Germany
Albatros Dr.I,aircraft model,2.42,German Empire
Albatros D.X,aircraft model,2.75,German Empire
