col0,col1,col2,col3
clarithromycin,Helicobacter pylori infectious disease,clarithromycin,Developmental Toxicant
tacrolimus,ulcerative colitis,tacrolimus,polyketide
tylosin,diphtheria,tylosin,polyketide
erythromycin,chancroid,erythromycin,polyketide
tacrolimus,ulcerative colitis,tacrolimus,immunosuppressive drug
erythromycin,chancroid,erythromycin,essential medicine
tacrolimus,ulcerative colitis,tacrolimus,medication
erythromycin,chancroid,erythromycin,medication
tacrolimus,ulcerative colitis,tacrolimus,chemical compound
tylosin,diphtheria,tylosin,chemical compound
erythromycin,chancroid,erythromycin,chemical compound
doxycycline,pneumonia,doxycycline,polyketide
