col0,col1,col2,col3
surgery,surgeon,treatment,academic discipline
dentistry,dentist,medicine,academic discipline
internal medicine,internist,medicine,academic discipline
geriatrics,geriatrician,gerontology,academic discipline
psychiatry,psychiatrist,medicine,academic discipline
pharmacology,pharmacologist,health science,pharmaceutical science
vascular surgery,vascular surgeon,surgery,medical specialty
military medicine,military physician,medicine,medical specialty
abdominal surgery,abdominal surgeon,surgery,medical specialty
radiation oncology,radiation oncologist,radiology,medical specialty
anatomical pathology,anatomical pathologist,pathology,medical specialty
oral and maxillofacial surgery,oral and maxillofacial surgeon,surgery,medical specialty
cardiac surgery,cardiac surgeon,thoracic surgery,medical specialty
plastic surgery,plastic surgeon,surgery,medical specialty
