col0,col1,col2,col3
County Laois,UTC±00:00,Ireland,Port Laoise
County Mayo,Western European Time,Ireland,Castlebar
County Roscommon,UTC±00:00,Ireland,Roscommon
County Wicklow,UTC±00:00,Ireland,Wicklow
County Longford,UTC±00:00,Ireland,Longford
County Leitrim,UTC±00:00,Ireland,Carrick-on-Shannon
County Monaghan,UTC±00:00,Ireland,Monaghan
County Offaly,UTC±00:00,Ireland,Tullamore
County Meath,UTC±00:00,Ireland,Navan
County Kildare,UTC±00:00,Ireland,Naas
County Cavan,UTC±00:00,Ireland,Cavan
County Kerry,UTC±00:00,Ireland,Tralee
County Carlow,UTC±00:00,Ireland,Carlow
County Clare,UTC±00:00,Ireland,Ennis
County Wexford,UTC±00:00,Ireland,Wexford
