col0,col1,col2,col3,col4
Pennsville Township,Pennsville School District,township of New Jersey,United States of America,Salem County
Alloway Township,Alloway Township School District,township of New Jersey,United States of America,Salem County
Carneys Point Township,Penns Grove-Carneys Point Regional School District,township of New Jersey,United States of America,Salem County
Woodland Township,Lenape Regional High School District,township of New Jersey,United States of America,Burlington County
Upper Pittsgrove Township,Upper Pittsgrove School District,township of New Jersey,United States of America,Salem County
Oldmans Township,Oldmans Township School District,township of New Jersey,United States of America,Salem County
Upper Township,Upper Township School District,township of New Jersey,United States of America,Cape May County
Mount Olive Township,Mount Olive Township School District,township of New Jersey,United States of America,Morris County
Springfield Township,Northern Burlington County Regional School District,township of New Jersey,United States of America,Burlington County
Mansfield Township,Mansfield Public Schools,township of New Jersey,United States of America,Burlington County
Lawrence Township,Lawrence Township Public Schools,township of New Jersey,United States of America,Mercer County
Hopewell Township,Hopewell Valley Regional School District,township of New Jersey,United States of America,Mercer County
