col0,col1,col2,col3
Hertfordshire,Bedfordshire,United Kingdom,Hertfordshire
Lancashire,Cumbria,United Kingdom,Lancashire
Northamptonshire,Rutland,United Kingdom,Northamptonshire
County Durham,Cumbria,United Kingdom,County Durham
Cheshire,Greater Manchester,United Kingdom,Cheshire
Cambridgeshire,Hertfordshire,United Kingdom,Cambridgeshire
Staffordshire,Cheshire,United Kingdom,Staffordshire
Lancashire,Cumbria,United Kingdom,Lancashire
Leicestershire,Rutland,United Kingdom,Leicestershire
Nottinghamshire,South Yorkshire,United Kingdom,Nottinghamshire
Cambridgeshire,Hertfordshire,United Kingdom,Cambridgeshire
Lincolnshire,East Riding of Yorkshire,United Kingdom,Lincolnshire
North Yorkshire,Cumbria,United Kingdom,North Yorkshire
