col0,col1,col2,col3
Sheer Heart Attack,2349,LP record,Sheer Heart Attack
Beatles for Sale,2006,LP record,Beatles for Sale
Herzeleid,2966,Compact Disc,Herzeleid
Rosenrot,2900,Compact Disc,Rosenrot
Relapse,4576,Compact Disc,Relapse
School's Out,2233,LP record,School's Out
Sehnsucht,2905,Compact Disc,Sehnsucht
...And Justice for All,3925,Compact Disc,...And Justice for All
A Day at the Races,2664,LP record,A Day at the Races
Rated R,3109,Compact Disc,Rated R
October,2465,gramophone record,October
Zuma,2194,LP record,Zuma
Ram,2595,LP record,Ram
