col0,col1,col2,col3
Småland,Halland County,Sweden,29330
Lapland,Norrbotten County,Sweden,109702
Norrbotten,Norrbotten County,Sweden,26671
Jämtland,Jämtland County,Sweden,33800
Ångermanland,Jämtland County,Sweden,19444
Härjedalen,Jämtland County,Sweden,12533
Hälsingland,Jämtland County,Sweden,14270
Småland,Jönköping County,Sweden,29330
Halland,Skåne County,Sweden,4796
Scania,Skåne County,Sweden,11027
Halland,Västra Götaland County,Sweden,4796
Västergötland,Västra Götaland County,Sweden,16694
Värmland,Västra Götaland County,Sweden,12813
