col0,col1,col2,col3,col4
2024 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Kingdom of the Netherlands,2025 Dutch International Badminton Championships
2023 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Kingdom of the Netherlands,2024 Dutch International Badminton Championships
2022 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Kingdom of the Netherlands,2023 Dutch International Badminton Championships
2021 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Kingdom of the Netherlands,2022 Dutch International Badminton Championships
2020 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Kingdom of the Netherlands,2021 Dutch International Badminton Championships
2019 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Netherlands,2020 Dutch International Badminton Championships
2018 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Netherlands,2019 Dutch International Badminton Championships
2017 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Netherlands,2018 Dutch International Badminton Championships
2016 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Netherlands,2017 Dutch International Badminton Championships
2015 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Netherlands,2016 Dutch International Badminton Championships
2014 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Netherlands,2015 Dutch International Badminton Championships
2013 Dutch International Badminton Championships,open championship,WikiProject Badminton/tournament focus list,Netherlands,2014 Dutch International Badminton Championships
